year,month_name,quarter,lastSaleDate,date_id
2022,August,3,2022-08-30 00:00:00+00:00,158
2011,May,2,2011-05-11 00:00:00+00:00,159
1999,June,2,1999-06-15 00:00:00+00:00,160
2013,May,2,2013-05-10 00:00:00+00:00,161
2020,September,3,2020-09-10 00:00:00+00:00,162
2019,March,1,2019-03-07 00:00:00+00:00,163
2021,June,2,2021-06-04 00:00:00+00:00,164
2021,November,4,2021-11-04 00:00:00+00:00,165
2014,August,3,2014-08-12 00:00:00+00:00,166
2013,May,2,2013-05-08 00:00:00+00:00,167
1984,November,4,1984-11-01 00:00:00+00:00,168
2011,October,4,2011-10-13 00:00:00+00:00,169
2006,September,3,2006-09-15 00:00:00+00:00,170
2023,September,3,2023-09-07 00:00:00+00:00,171
2022,March,1,2022-03-11 00:00:00+00:00,172
2022,January,1,2022-01-06 00:00:00+00:00,173
1997,July,3,1997-07-22 00:00:00+00:00,174
2021,June,2,2021-06-15 00:00:00+00:00,175
2010,August,3,2010-08-18 00:00:00+00:00,176
2021,February,1,2021-02-18 00:00:00+00:00,177
2009,April,2,2009-04-14 00:00:00+00:00,178
2022,January,1,2022-01-14 00:00:00+00:00,179
2021,September,3,2021-09-03 00:00:00+00:00,180
2021,August,3,2021-08-04 00:00:00+00:00,181
2020,April,2,2020-04-21 00:00:00+00:00,182
2004,May,2,2004-05-07 00:00:00+00:00,183
2007,June,2,2007-06-13 00:00:00+00:00,184
2003,June,2,2003-06-12 00:00:00+00:00,185
2023,April,2,2023-04-11 00:00:00+00:00,186
2012,February,1,2012-02-02 00:00:00+00:00,187
2023,August,3,2023-08-07 00:00:00+00:00,188
2008,March,1,2008-03-05 00:00:00+00:00,189
1994,February,1,1994-02-01 00:00:00+00:00,190
1993,February,1,1993-02-01 00:00:00+00:00,191
2020,December,4,2020-12-17 00:00:00+00:00,192
2011,October,4,2011-10-19 00:00:00+00:00,193
1994,June,2,1994-06-23 00:00:00+00:00,194
2003,February,1,2003-02-14 00:00:00+00:00,195
1996,September,3,1996-09-13 00:00:00+00:00,196
2010,October,4,2010-10-14 00:00:00+00:00,197
2010,July,3,2010-07-06 00:00:00+00:00,198
2008,May,2,2008-05-12 00:00:00+00:00,199
2017,July,3,2017-07-26 00:00:00+00:00,200
2006,December,4,2006-12-31 00:00:00+00:00,201
2009,June,2,2009-06-29 00:00:00+00:00,202
1996,December,4,1996-12-09 00:00:00+00:00,203
2015,January,1,2015-01-26 00:00:00+00:00,204
2015,June,2,2015-06-23 00:00:00+00:00,205
2022,May,2,2022-05-23 00:00:00+00:00,206
2019,November,4,2019-11-20 00:00:00+00:00,207
2010,January,1,2010-01-14 00:00:00+00:00,208
2020,November,4,2020-11-02 00:00:00+00:00,209
2006,January,1,2006-01-24 00:00:00+00:00,210
2021,October,4,2021-10-08 00:00:00+00:00,211
2015,August,3,2015-08-27 00:00:00+00:00,212
2021,October,4,2021-10-14 00:00:00+00:00,213
2010,November,4,2010-11-02 00:00:00+00:00,214
2008,July,3,2008-07-14 00:00:00+00:00,215
1995,March,1,1995-03-26 00:00:00+00:00,216
2022,February,1,2022-02-23 00:00:00+00:00,217
2013,November,4,2013-11-25 00:00:00+00:00,218
2017,January,1,2017-01-06 00:00:00+00:00,219
2007,December,4,2007-12-11 00:00:00+00:00,220
2023,August,3,2023-08-01 00:00:00+00:00,221
2021,October,4,2021-10-20 00:00:00+00:00,222
1984,July,3,1984-07-30 00:00:00+00:00,223
2022,November,4,2022-11-15 00:00:00+00:00,224
2017,September,3,2017-09-05 00:00:00+00:00,225
